,train,val,test
0,N1743-12 - 2018-03-27 13.44.41,E326-01-I-B - 2018-04-13 15.24.00,235-88-I - 2018-05-01 16.54.37
1,N1743-12 - 2018-03-27 13.53.06,E326-01-II - 2018-04-13 14.21.52,N1145-91
2,N950-14 - 2018-03-28 17.16.47,E326-01-III - 2018-04-13 14.28.00,N528-91 - 2018-04-11 10.23.45
3,N950-14 - 2018-03-28 17.35.44,E306-02 - 2018-04-13 15.05.47,E341-03
4,857-95-I - 2018-04-16 12.10.27,659-95-I - 2018-04-16 13.43.09,
5,857-95-I - 2018-04-16 12.14.13,E786-95 - 2018-04-16 11.58.00,
6,E205-06 - 2018-03-08 22.15.53,,
7,118-98-II - 2018-04-23 14.10.20,,
8,338-97-I - 2018-04-23 13.35.08,,
9,935-95 - 2018-04-16 12.28.05,,
10,E374-10 - 2018-03-08 20.11.33,,
11,306-98-I - 2018-04-18 09.33.51,,
12,306-98-I - 2018-04-23 14.23.51,,
13,N980-93 - 2018-04-12 19.25.47,,
14,236-91 - 2018-04-11 14.46.24,,
15,E236-91 - 2018-04-10 22.54.09,,
16,E236-91-B - 2018-04-11 10.12.44,,
17,E620-06 - 2018-03-08 22.29.32,,
18,E694-07 - 2018-03-08 23.39.02,,
19,EK270-09 - 2018-03-09 00.37.05,,
20,775-92,,
21,93-95 - 2018-04-16 13.25.31,,
22,450-95-I - 2018-04-16 10.57.33,,
23,450-95-I - 2018-04-16 11.08.51,,
24,450-95-I - 2018-04-16 11.18.54,,
25,E515-00 - 2018-04-18 12.06.34,,
26,E411-10A - 2018-03-08 20.23.01,,
27,846-95-I - 2018-04-16 12.06.25,,
28,E984-06 - 2018-03-08 22.52.06,,
29,365-95 - 2018-04-16 10.46.09,,
30,25-95-I - 2018-04-16 10.19.32,,
31,E1-2009 - 2018-03-09 00.25.12,,
32,E255-84 - 2018-05-01 13.36.44,,
33,N2-95 - 2018-04-16 13.21.32,,
34,N26-91,,
35,E118-13A - 2018-03-27 14.01.22,,
36,E118-13B - 2018-03-27 14.06.12,,
37,E118-13D - 2018-03-27 14.16.39,,
38,E1254-13I-II - 2018-03-28 12.26.56,,
39,E621-14IA - 2018-03-28 12.51.43,,
40,E621-14IB - 2018-03-28 13.03.12,,
41,E621-14II - 2018-03-28 13.14.24,,
42,949-86 - 2018-05-01 15.45.54,,
43,N 266-93-II - 2018-04-12 19.42.58,,
44,798-98 - 2018-04-18 10.29.38,,
45,N1948-14-2-B-5 - 2018-03-28 14.15.16,,
46,E622-10 - 2018-03-08 20.30.55,,
47,1025-98 - 2018-04-18 10.44.26,,
48,549-00-II - 2018-04-18 12.13.56,,
49,709-97 - 2018-04-23 14.07.45,,
50,E385-00 - 2018-04-18 12.01.56,,
51,E618-05 - 2018-03-08 21.24.02,,
52,946-90 - 2018-04-11 09.47.49,,
53,E125-95 - 2018-04-16 13.35.36,,
54,N517-12D - 2018-03-27 12.41.53,,
55,N517-12E - 2018-03-27 12.55.23,,
56,E713-01-B - 2018-04-13 14.51.28,,
57,E314-09 - 2018-03-09 00.40.12,,
58,E37-02-B - 2018-04-13 15.33.35,,
