,train,val,test
0,N1743-12 - 2018-03-27 13.44.41,E255-84 - 2018-05-01 13.36.44,235-88-I - 2018-05-01 16.54.37
1,N1743-12 - 2018-03-27 13.53.06,450-95-I - 2018-04-16 10.57.33,236-91 - 2018-04-11 14.46.24
2,N950-14 - 2018-03-28 17.16.47,450-95-I - 2018-04-16 11.08.51,E236-91 - 2018-04-10 22.54.09
3,N950-14 - 2018-03-28 17.35.44,450-95-I - 2018-04-16 11.18.54,E236-91-B - 2018-04-11 10.12.44
4,857-95-I - 2018-04-16 12.10.27,384-81 - 2018-04-26 21.53.39,1020-93 - 2018-04-12 20.11.04
5,857-95-I - 2018-04-16 12.14.13,E1080-09 - 2018-03-09 01.09.54,E308-87 - 2018-05-01 16.00.46
6,E326-01-I-B - 2018-04-13 15.24.00,E1080-09B - 2018-03-09 01.23.45,
7,E326-01-II - 2018-04-13 14.21.52,,
8,E326-01-III - 2018-04-13 14.28.00,,
9,E306-02 - 2018-04-13 15.05.47,,
10,E205-06 - 2018-03-08 22.15.53,,
11,118-98-II - 2018-04-23 14.10.20,,
12,338-97-I - 2018-04-23 13.35.08,,
13,935-95 - 2018-04-16 12.28.05,,
14,E374-10 - 2018-03-08 20.11.33,,
15,N1145-91,,
16,306-98-I - 2018-04-18 09.33.51,,
17,306-98-I - 2018-04-23 14.23.51,,
18,N980-93 - 2018-04-12 19.25.47,,
19,E620-06 - 2018-03-08 22.29.32,,
20,E694-07 - 2018-03-08 23.39.02,,
21,EK270-09 - 2018-03-09 00.37.05,,
22,775-92,,
23,93-95 - 2018-04-16 13.25.31,,
24,E515-00 - 2018-04-18 12.06.34,,
25,E411-10A - 2018-03-08 20.23.01,,
26,846-95-I - 2018-04-16 12.06.25,,
27,E984-06 - 2018-03-08 22.52.06,,
28,365-95 - 2018-04-16 10.46.09,,
29,25-95-I - 2018-04-16 10.19.32,,
30,E1-2009 - 2018-03-09 00.25.12,,
31,N2-95 - 2018-04-16 13.21.32,,
32,N26-91,,
33,E118-13A - 2018-03-27 14.01.22,,
34,E118-13B - 2018-03-27 14.06.12,,
35,E118-13D - 2018-03-27 14.16.39,,
36,E1254-13I-II - 2018-03-28 12.26.56,,
37,E621-14IA - 2018-03-28 12.51.43,,
38,E621-14IB - 2018-03-28 13.03.12,,
39,E621-14II - 2018-03-28 13.14.24,,
40,949-86 - 2018-05-01 15.45.54,,
41,N 266-93-II - 2018-04-12 19.42.58,,
42,798-98 - 2018-04-18 10.29.38,,
43,N1948-14-2-B-5 - 2018-03-28 14.15.16,,
44,E622-10 - 2018-03-08 20.30.55,,
45,1025-98 - 2018-04-18 10.44.26,,
46,549-00-II - 2018-04-18 12.13.56,,
47,709-97 - 2018-04-23 14.07.45,,
