,train,val,test
0,N1743-12 - 2018-03-27 13.44.41,857-95-I - 2018-04-16 12.10.27,E1-2009 - 2018-03-09 00.25.12
1,N1743-12 - 2018-03-27 13.53.06,857-95-I - 2018-04-16 12.14.13,118-98-II - 2018-04-23 14.10.20
2,N950-14 - 2018-03-28 17.16.47,1025-98 - 2018-04-18 10.44.26,338-97-I - 2018-04-23 13.35.08
3,N950-14 - 2018-03-28 17.35.44,E484-93-1 - 2018-04-12 18.05.18,935-95 - 2018-04-16 12.28.05
4,E326-01-I-B - 2018-04-13 15.24.00,E484-93-1 - 2018-04-12 18.18.30,E786-95 - 2018-04-16 11.58.00
5,E326-01-II - 2018-04-13 14.21.52,354-95 - 2018-04-16 10.23.47,E1080-09 - 2018-03-09 01.09.54
6,E326-01-III - 2018-04-13 14.28.00,354-95 - 2018-04-16 10.37.23,E1080-09B - 2018-03-09 01.23.45
7,E306-02 - 2018-04-13 15.05.47,,
8,E205-06 - 2018-03-08 22.15.53,,
9,E374-10 - 2018-03-08 20.11.33,,
10,N1145-91,,
11,306-98-I - 2018-04-18 09.33.51,,
12,306-98-I - 2018-04-23 14.23.51,,
13,N980-93 - 2018-04-12 19.25.47,,
14,236-91 - 2018-04-11 14.46.24,,
15,E236-91 - 2018-04-10 22.54.09,,
16,E236-91-B - 2018-04-11 10.12.44,,
17,E620-06 - 2018-03-08 22.29.32,,
18,E694-07 - 2018-03-08 23.39.02,,
19,EK270-09 - 2018-03-09 00.37.05,,
20,775-92,,
21,93-95 - 2018-04-16 13.25.31,,
22,450-95-I - 2018-04-16 10.57.33,,
23,450-95-I - 2018-04-16 11.08.51,,
24,450-95-I - 2018-04-16 11.18.54,,
25,E515-00 - 2018-04-18 12.06.34,,
26,E411-10A - 2018-03-08 20.23.01,,
27,846-95-I - 2018-04-16 12.06.25,,
28,E984-06 - 2018-03-08 22.52.06,,
29,365-95 - 2018-04-16 10.46.09,,
30,25-95-I - 2018-04-16 10.19.32,,
31,E255-84 - 2018-05-01 13.36.44,,
32,N2-95 - 2018-04-16 13.21.32,,
33,N26-91,,
34,E118-13A - 2018-03-27 14.01.22,,
35,E118-13B - 2018-03-27 14.06.12,,
36,E118-13D - 2018-03-27 14.16.39,,
37,E1254-13I-II - 2018-03-28 12.26.56,,
38,E621-14IA - 2018-03-28 12.51.43,,
39,E621-14IB - 2018-03-28 13.03.12,,
40,E621-14II - 2018-03-28 13.14.24,,
41,949-86 - 2018-05-01 15.45.54,,
42,N 266-93-II - 2018-04-12 19.42.58,,
43,798-98 - 2018-04-18 10.29.38,,
44,N1948-14-2-B-5 - 2018-03-28 14.15.16,,
45,235-88-I - 2018-05-01 16.54.37,,
46,E622-10 - 2018-03-08 20.30.55,,
47,549-00-II - 2018-04-18 12.13.56,,
48,709-97 - 2018-04-23 14.07.45,,
49,E385-00 - 2018-04-18 12.01.56,,
50,E618-05 - 2018-03-08 21.24.02,,
51,946-90 - 2018-04-11 09.47.49,,
52,E125-95 - 2018-04-16 13.35.36,,
53,N517-12D - 2018-03-27 12.41.53,,
54,N517-12E - 2018-03-27 12.55.23,,
55,E713-01-B - 2018-04-13 14.51.28,,
56,E314-09 - 2018-03-09 00.40.12,,
57,E37-02-B - 2018-04-13 15.33.35,,
58,N1074-17-1-A-14 - 2018-04-05 22.36.35,,
59,N1074-17-1-B-3 - 2018-04-05 22.53.07,,
60,N1074-17-1-C-3 - 2018-04-05 23.01.52,,
61,N1074-17-1-D-3 - 2018-04-05 23.10.59,,
62,E341-03,,
63,N528-91 - 2018-04-11 10.23.45,,
64,E434-02-I - 2018-04-13 16.08.34,,
65,E434-02-II - 2018-04-13 16.23.44,,
66,E465-02 - 2018-04-16 09.55.18,,
67,E465-02-A - 2018-04-16 09.43.13,,
68,723-86 - 2018-05-01 15.29.45,,
69,E308-87 - 2018-05-01 16.00.46,,
70,N235-91 - 2018-04-11 11.04.35,,
71,E878-91 - 2018-04-11 00.15.19,,
72,E465-90-A - 2018-04-10 18.03.23,,
73,E465-90-B - 2018-04-10 18.18.59,,
74,E936-91-A - 2018-04-11 00.43.04,,
75,E936-91-a - 2018-04-11 00.22.25,,
76,E936-91-b - 2018-04-11 00.31.13,,
77,41-94 - 2018-04-12 19.58.45,,
78,E635-93 - 2018-04-12 18.30.38,,
79,E635-93 - 2018-04-12 18.39.38,,
80,478-96-7-I-C - 2018-04-23 13.57.36,,
81,478-97-I-B - 2018-04-23 13.49.05,,
82,E1036-88 - 2018-05-02 17.27.58,,
83,E303-94-A - 2018-04-12 20.41.43,,
84,277-94 - 2018-04-12 20.21.54,,
85,N210-78-A - 2018-04-26 18.34.59,,
86,N527-92 - 2018-04-11 01.19.27,,
87,N527-92 - 2018-04-11 11.18.21,,
88,N1199-91 - 2018-04-11 11.09.29,,
89,E173-10A - 2018-03-09 01.37.57,,
90,E940-10 - 2018-03-08 21.04.26,,
91,E538-03,,
92,426-88 - 2018-05-02 09.37.06,,
93,384-81 - 2018-04-26 21.53.39,,
94,1011-92 - 2018-04-11 01.35.33,,
95,E1054-68 - 2018-04-26 12.02.39,,
96,N499-91 - 2018-04-10 23.48.27,,
97,647-88 - 2018-05-02 10.13.12,,
98,E863-87 - 2018-05-01 16.18.21,,
99,E732-04 - 2018-03-08 21.10.39,,
100,387-94-I - 2018-04-12 21.37.38,,
101,N1366-92 - 2018-04-11 11.28.21,,
102,659-95-I - 2018-04-16 13.43.09,,
103,371-02 - 2018-04-13 15.50.14,,
104,E1079-14 - 2018-03-28 17.45.25,,
105,E301-07 - 2018-03-08 23.10.37,,
106,E301-07 - 2018-03-08 23.25.15,,
107,E951-12 - 2018-03-27 13.38.29,,
108,1020-93 - 2018-04-12 20.11.04,,
