,train,val,test
0,N1743-12 - 2018-03-27 13.44.41,E984-06 - 2018-03-08 22.52.06,E620-06 - 2018-03-08 22.29.32
1,N1743-12 - 2018-03-27 13.53.06,E326-01-I-B - 2018-04-13 15.24.00,E694-07 - 2018-03-08 23.39.02
2,N950-14 - 2018-03-28 17.16.47,E326-01-II - 2018-04-13 14.21.52,EK270-09 - 2018-03-09 00.37.05
3,N950-14 - 2018-03-28 17.35.44,E326-01-III - 2018-04-13 14.28.00,E118-13A - 2018-03-27 14.01.22
4,857-95-I - 2018-04-16 12.10.27,N235-91 - 2018-04-11 11.04.35,E118-13B - 2018-03-27 14.06.12
5,857-95-I - 2018-04-16 12.14.13,E878-91 - 2018-04-11 00.15.19,E118-13D - 2018-03-27 14.16.39
6,E306-02 - 2018-04-13 15.05.47,,E1254-13I-II - 2018-03-28 12.26.56
7,E205-06 - 2018-03-08 22.15.53,,E621-14IA - 2018-03-28 12.51.43
8,118-98-II - 2018-04-23 14.10.20,,E621-14IB - 2018-03-28 13.03.12
9,338-97-I - 2018-04-23 13.35.08,,E621-14II - 2018-03-28 13.14.24
10,935-95 - 2018-04-16 12.28.05,,E618-05 - 2018-03-08 21.24.02
11,E374-10 - 2018-03-08 20.11.33,,387-94-I - 2018-04-12 21.37.38
12,N1145-91,,
13,306-98-I - 2018-04-18 09.33.51,,
14,306-98-I - 2018-04-23 14.23.51,,
15,N980-93 - 2018-04-12 19.25.47,,
16,236-91 - 2018-04-11 14.46.24,,
17,E236-91 - 2018-04-10 22.54.09,,
18,E236-91-B - 2018-04-11 10.12.44,,
19,775-92,,
20,93-95 - 2018-04-16 13.25.31,,
21,450-95-I - 2018-04-16 10.57.33,,
22,450-95-I - 2018-04-16 11.08.51,,
23,450-95-I - 2018-04-16 11.18.54,,
24,E515-00 - 2018-04-18 12.06.34,,
25,E411-10A - 2018-03-08 20.23.01,,
26,846-95-I - 2018-04-16 12.06.25,,
27,365-95 - 2018-04-16 10.46.09,,
28,25-95-I - 2018-04-16 10.19.32,,
29,E1-2009 - 2018-03-09 00.25.12,,
30,E255-84 - 2018-05-01 13.36.44,,
31,N2-95 - 2018-04-16 13.21.32,,
32,N26-91,,
33,949-86 - 2018-05-01 15.45.54,,
34,N 266-93-II - 2018-04-12 19.42.58,,
35,798-98 - 2018-04-18 10.29.38,,
36,N1948-14-2-B-5 - 2018-03-28 14.15.16,,
37,235-88-I - 2018-05-01 16.54.37,,
38,E622-10 - 2018-03-08 20.30.55,,
39,1025-98 - 2018-04-18 10.44.26,,
40,549-00-II - 2018-04-18 12.13.56,,
41,709-97 - 2018-04-23 14.07.45,,
42,E385-00 - 2018-04-18 12.01.56,,
43,946-90 - 2018-04-11 09.47.49,,
44,E125-95 - 2018-04-16 13.35.36,,
45,N517-12D - 2018-03-27 12.41.53,,
46,N517-12E - 2018-03-27 12.55.23,,
47,E713-01-B - 2018-04-13 14.51.28,,
48,E314-09 - 2018-03-09 00.40.12,,
49,E37-02-B - 2018-04-13 15.33.35,,
50,N1074-17-1-A-14 - 2018-04-05 22.36.35,,
51,N1074-17-1-B-3 - 2018-04-05 22.53.07,,
52,N1074-17-1-C-3 - 2018-04-05 23.01.52,,
53,N1074-17-1-D-3 - 2018-04-05 23.10.59,,
54,E341-03,,
55,354-95 - 2018-04-16 10.23.47,,
56,354-95 - 2018-04-16 10.37.23,,
57,N528-91 - 2018-04-11 10.23.45,,
58,E434-02-I - 2018-04-13 16.08.34,,
59,E434-02-II - 2018-04-13 16.23.44,,
60,E465-02 - 2018-04-16 09.55.18,,
61,E465-02-A - 2018-04-16 09.43.13,,
62,723-86 - 2018-05-01 15.29.45,,
63,E308-87 - 2018-05-01 16.00.46,,
64,E484-93-1 - 2018-04-12 18.05.18,,
65,E484-93-1 - 2018-04-12 18.18.30,,
66,E1080-09 - 2018-03-09 01.09.54,,
67,E1080-09B - 2018-03-09 01.23.45,,
68,E465-90-A - 2018-04-10 18.03.23,,
69,E465-90-B - 2018-04-10 18.18.59,,
70,E936-91-A - 2018-04-11 00.43.04,,
71,E936-91-a - 2018-04-11 00.22.25,,
72,E936-91-b - 2018-04-11 00.31.13,,
73,41-94 - 2018-04-12 19.58.45,,
74,E635-93 - 2018-04-12 18.30.38,,
75,E635-93 - 2018-04-12 18.39.38,,
76,478-96-7-I-C - 2018-04-23 13.57.36,,
77,478-97-I-B - 2018-04-23 13.49.05,,
78,E1036-88 - 2018-05-02 17.27.58,,
79,E303-94-A - 2018-04-12 20.41.43,,
80,277-94 - 2018-04-12 20.21.54,,
81,N210-78-A - 2018-04-26 18.34.59,,
82,N527-92 - 2018-04-11 01.19.27,,
83,N527-92 - 2018-04-11 11.18.21,,
84,N1199-91 - 2018-04-11 11.09.29,,
85,E173-10A - 2018-03-09 01.37.57,,
86,E940-10 - 2018-03-08 21.04.26,,
87,E538-03,,
88,426-88 - 2018-05-02 09.37.06,,
89,384-81 - 2018-04-26 21.53.39,,
90,1011-92 - 2018-04-11 01.35.33,,
91,E1054-68 - 2018-04-26 12.02.39,,
92,E786-95 - 2018-04-16 11.58.00,,
93,N499-91 - 2018-04-10 23.48.27,,
94,647-88 - 2018-05-02 10.13.12,,
95,E863-87 - 2018-05-01 16.18.21,,
96,E732-04 - 2018-03-08 21.10.39,,
97,N1366-92 - 2018-04-11 11.28.21,,
98,659-95-I - 2018-04-16 13.43.09,,
99,371-02 - 2018-04-13 15.50.14,,
100,E1079-14 - 2018-03-28 17.45.25,,
101,E301-07 - 2018-03-08 23.10.37,,
102,E301-07 - 2018-03-08 23.25.15,,
103,E951-12 - 2018-03-27 13.38.29,,
104,1020-93 - 2018-04-12 20.11.04,,
