,train,val,test
0,N1743-12 - 2018-03-27 13.44.41,236-91 - 2018-04-11 14.46.24,E1-2009 - 2018-03-09 00.25.12
1,N1743-12 - 2018-03-27 13.53.06,E236-91 - 2018-04-10 22.54.09,E326-01-I-B - 2018-04-13 15.24.00
2,N950-14 - 2018-03-28 17.16.47,E236-91-B - 2018-04-11 10.12.44,E326-01-II - 2018-04-13 14.21.52
3,N950-14 - 2018-03-28 17.35.44,709-97 - 2018-04-23 14.07.45,E326-01-III - 2018-04-13 14.28.00
4,857-95-I - 2018-04-16 12.10.27,E863-87 - 2018-05-01 16.18.21,N499-91 - 2018-04-10 23.48.27
5,857-95-I - 2018-04-16 12.14.13,N210-78-A - 2018-04-26 18.34.59,E1054-68 - 2018-04-26 12.02.39
6,E306-02 - 2018-04-13 15.05.47,,
7,E205-06 - 2018-03-08 22.15.53,,
8,118-98-II - 2018-04-23 14.10.20,,
9,338-97-I - 2018-04-23 13.35.08,,
10,935-95 - 2018-04-16 12.28.05,,
11,E374-10 - 2018-03-08 20.11.33,,
12,N1145-91,,
13,306-98-I - 2018-04-18 09.33.51,,
14,306-98-I - 2018-04-23 14.23.51,,
15,N980-93 - 2018-04-12 19.25.47,,
16,E620-06 - 2018-03-08 22.29.32,,
17,E694-07 - 2018-03-08 23.39.02,,
18,EK270-09 - 2018-03-09 00.37.05,,
19,775-92,,
20,93-95 - 2018-04-16 13.25.31,,
21,450-95-I - 2018-04-16 10.57.33,,
22,450-95-I - 2018-04-16 11.08.51,,
23,450-95-I - 2018-04-16 11.18.54,,
24,E515-00 - 2018-04-18 12.06.34,,
25,E411-10A - 2018-03-08 20.23.01,,
26,846-95-I - 2018-04-16 12.06.25,,
27,E984-06 - 2018-03-08 22.52.06,,
28,365-95 - 2018-04-16 10.46.09,,
29,25-95-I - 2018-04-16 10.19.32,,
30,E255-84 - 2018-05-01 13.36.44,,
31,N2-95 - 2018-04-16 13.21.32,,
32,N26-91,,
33,E118-13A - 2018-03-27 14.01.22,,
34,E118-13B - 2018-03-27 14.06.12,,
35,E118-13D - 2018-03-27 14.16.39,,
36,E1254-13I-II - 2018-03-28 12.26.56,,
37,E621-14IA - 2018-03-28 12.51.43,,
38,E621-14IB - 2018-03-28 13.03.12,,
39,E621-14II - 2018-03-28 13.14.24,,
40,949-86 - 2018-05-01 15.45.54,,
41,N 266-93-II - 2018-04-12 19.42.58,,
42,798-98 - 2018-04-18 10.29.38,,
43,N1948-14-2-B-5 - 2018-03-28 14.15.16,,
44,235-88-I - 2018-05-01 16.54.37,,
45,E622-10 - 2018-03-08 20.30.55,,
46,1025-98 - 2018-04-18 10.44.26,,
47,549-00-II - 2018-04-18 12.13.56,,
48,E385-00 - 2018-04-18 12.01.56,,
49,E618-05 - 2018-03-08 21.24.02,,
50,946-90 - 2018-04-11 09.47.49,,
51,E125-95 - 2018-04-16 13.35.36,,
52,N517-12D - 2018-03-27 12.41.53,,
53,N517-12E - 2018-03-27 12.55.23,,
54,E713-01-B - 2018-04-13 14.51.28,,
55,E314-09 - 2018-03-09 00.40.12,,
56,E37-02-B - 2018-04-13 15.33.35,,
57,N1074-17-1-A-14 - 2018-04-05 22.36.35,,
58,N1074-17-1-B-3 - 2018-04-05 22.53.07,,
59,N1074-17-1-C-3 - 2018-04-05 23.01.52,,
60,N1074-17-1-D-3 - 2018-04-05 23.10.59,,
61,E341-03,,
62,354-95 - 2018-04-16 10.23.47,,
