,train,val,test
0,N2014000134N2-A-16 - 2021-07-06 12.54.44,N1074-17-1-A-14 - 2018-04-05 22.36.35,E255-84 - 2018-05-01 13.36.44
1,E636-13 - 2018-03-28 10.25.20,N1074-17-1-B-3 - 2018-04-05 22.53.07,N687-67 - 2018-04-26 11.37.57
2,N2018-13-1A - 2018-03-28 12.36.36,N1074-17-1-C-3 - 2018-04-05 23.01.52,E580-12 - 2018-03-27 13.07.08
3,N47-80-B - 2018-04-26 20.12.50,N1074-17-1-D-3 - 2018-04-05 23.10.59,E984-06 - 2018-03-08 22.52.06
4,946-90 - 2018-04-11 09.47.49,E392-08 - 2018-03-09 00.06.20,E538-03
5,857-95-I - 2018-04-16 12.10.27,E44-90-A - 2018-04-10 17.13.58,2021-07-06 12.40.22
6,857-95-I - 2018-04-16 12.14.13,E44-90-B - 2018-04-10 17.49.10,E808-92 - 2018-04-10 22.42.34
7,E160-85 - 2018-05-01 13.48.07,2021-07-06 13.44.14,E434-02-I - 2018-04-13 16.08.34
8,E451-13 - 2018-03-27 15.21.36,E308-87 - 2018-05-01 16.00.46,E434-02-II - 2018-04-13 16.23.44
9,E451-13 - 2018-03-27 15.27.55,E909-87 - 2018-05-01 16.30.36,E465-02 - 2018-04-16 09.55.18
10,E125-95 - 2018-04-16 13.35.36,N2872-17-1-B-2 - 2018-04-06 00.29.15,E465-02-A - 2018-04-16 09.43.13
11,E713-01-B - 2018-04-13 14.51.28,N2872-17-1-C-10 - 2018-04-06 01.17.50,E1059-13A - 2018-03-28 10.37.11
12,N1662-15-1-A-13 - 2018-04-05 17.59.29,N2872-17-1-D-2 - 2018-04-06 00.44.54,E1059-13B - 2018-03-28 10.52.13
13,E314-09 - 2018-03-09 00.40.12,N2872-17-1-E-2 - 2018-04-06 01.02.09,
14,E37-02-B - 2018-04-13 15.33.35,N83-73 - 2018-04-26 17.19.42,
15,307-91 - 2018-04-10 23.26.34,E851-90-A - 2018-04-10 21.04.22,
16,1037-98-I - 2018-04-18 10.51.35,E851-90-A - 2018-04-10 21.32.31,
