,train,val,test
0,N2014000134N2-A-16 - 2021-07-06 12.54.44,450-95-I - 2018-04-16 10.57.33,N16-1903_a
1,E636-13 - 2018-03-28 10.25.20,450-95-I - 2018-04-16 11.08.51,N16-1903_b
2,N2018-13-1A - 2018-03-28 12.36.36,450-95-I - 2018-04-16 11.18.54,N16-1903_c
3,N47-80-B - 2018-04-26 20.12.50,384-81 - 2018-04-26 21.53.39,25-95-I - 2018-04-16 10.19.32
4,946-90 - 2018-04-11 09.47.49,E168-70 - 2018-04-26 12.14.09,E878-91 - 2018-04-11 00.15.19
5,857-95-I - 2018-04-16 12.10.27,1251-15-C - 2018-04-06 08.44.50,1037-98-I - 2018-04-18 10.51.35
6,857-95-I - 2018-04-16 12.14.13,E1251-15-A - 2018-04-05 17.41.27,E635-93 - 2018-04-12 18.30.38
7,E160-85 - 2018-05-01 13.48.07,E1251-15-B - 2018-04-05 17.48.01,E635-93 - 2018-04-12 18.39.38
8,E451-13 - 2018-03-27 15.21.36,E524-95 - 2018-04-16 11.35.11,E156-98-A - 2018-04-23 14.16.27
9,E451-13 - 2018-03-27 15.27.55,E524-95 - 2018-04-16 11.42.36,E434-02-I - 2018-04-13 16.08.34
10,E125-95 - 2018-04-16 13.35.36,E202-96 - 2018-04-23 13.18.01,E434-02-II - 2018-04-13 16.23.44
11,E713-01-B - 2018-04-13 14.51.28,E202-96 - 2018-04-23 14.04.02,E465-02 - 2018-04-16 09.55.18
12,N1662-15-1-A-13 - 2018-04-05 17.59.29,N11-81 - 2018-04-26 20.58.12,E465-02-A - 2018-04-16 09.43.13
13,E314-09 - 2018-03-09 00.40.12,N980-93 - 2018-04-12 19.25.47,N19-72 - 2018-04-26 13.05.57
14,E37-02-B - 2018-04-13 15.33.35,E253-89 - 2018-05-02 18.57.52,E260-85 - 2018-05-01 14.23.14
15,N1074-17-1-A-14 - 2018-04-05 22.36.35,E586-85 - 2018-05-01 14.31.34,
16,N1074-17-1-B-3 - 2018-04-05 22.53.07,E586-85 - 2018-05-01 14.40.47,
17,N1074-17-1-C-3 - 2018-04-05 23.01.52,,
18,N1074-17-1-D-3 - 2018-04-05 23.10.59,,
19,307-91 - 2018-04-10 23.26.34,,
20,124-00 - 2018-04-18 11.37.05,,
21,E1012-11-1 - 2018-03-27 11.45.31,,
22,E1012-11-II - 2018-03-27 11.41.30,,
23,E1012-11-III - 2018-03-27 11.36.41,,
24,E341-03,,
25,354-95 - 2018-04-16 10.23.47,,
26,354-95 - 2018-04-16 10.37.23,,
27,E306-02 - 2018-04-13 15.05.47,,
28,723-86 - 2018-05-01 15.29.45,,
29,N508-76 - 2018-04-26 15.21.24,,
30,E308-87 - 2018-05-01 16.00.46,,
31,E484-93-1 - 2018-04-12 18.05.18,,
32,E484-93-1 - 2018-04-12 18.18.30,,
33,E665-07 - 2018-03-08 23.32.41,,
34,N235-91 - 2018-04-11 11.04.35,,
35,E205-06 - 2018-03-08 22.15.53,,
36,E179-89 - 2018-05-02 18.36.24,,
37,E187-89 - 2018-05-02 18.45.39,,
38,E909-87 - 2018-05-01 16.30.36,,
39,N483-79 - 2018-04-26 20.04.03,,
40,N141-78 - 2018-04-26 18.09.25,,
41,E1080-09 - 2018-03-09 01.09.54,,
42,E1080-09B - 2018-03-09 01.23.45,,
43,E936-91-A - 2018-04-11 00.43.04,,
44,E936-91-a - 2018-04-11 00.22.25,,
45,E936-91-b - 2018-04-11 00.31.13,,
46,N1145-91,,
47,306-98-I - 2018-04-18 09.33.51,,
48,306-98-I - 2018-04-23 14.23.51,,
49,E580-12 - 2018-03-27 13.07.08,,
50,E131-13A - 2018-03-27 14.30.15,,
51,E131-13B - 2018-03-27 14.47.06,,
52,E131-13C - 2018-03-27 15.04.13,,
53,E623-13B - 2018-03-28 10.19.55,,
54,N331-15-1-A-13 - 2018-04-05 16.59.16,,
55,N331-15-2-A-31 - 2018-04-06 08.32.52,,
56,E658-90-A - 2018-04-10 20.12.47,,
57,E658-90-B - 2018-04-10 20.30.45,,
58,E658-90-B - 2018-04-10 20.51.02,,
59,N14-81 - 2018-04-26 21.12.47,,
60,N2424-16-1-A-5 - 2018-04-05 18.30.46,,
61,N2424-16-1-B-5 - 2018-04-05 18.42.39,,
62,N2424-16-1-D-5 - 2018-04-05 18.59.59,,
63,N2424-16-1-E-29 - 2018-04-05 19.12.14,,
64,N2424-16-1-E-5 - 2018-04-06 08.59.38,,
65,E824-11C - 2018-03-27 11.18.15,,
66,E824-11D - 2018-03-27 10.59.48,,
67,E841-12 - 2018-03-27 13.23.49,,
68,E262-65 - 2018-04-26 16.26.34,,
69,E784-10 - 2018-03-08 20.38.37,,
70,N211-78 - 2018-04-26 18.46.22,,
71,N91-72 - 2018-04-26 13.31.58,,
72,E04-06 - 2018-03-08 22.01.33,,
73,E187-10 - 2018-03-08 20.06.33,,
74,E515-00 - 2018-04-18 12.06.34,,
75,E525-89 - 2018-05-02 19.20.41,,
76,E525-89 - 2018-05-02 19.38.55,,
77,E303-94-A - 2018-04-12 20.41.43,,
78,E435-86 - 2018-05-01 15.18.08,,
79,N16-77 - 2018-04-26 15.44.56,,
80,277-94 - 2018-04-12 20.21.54,,
81,N2910-17-1-A-1 - 2018-04-06 00.24.22,,
82,E821-09 - 2018-03-09 00.54.05,,
83,846-95-I - 2018-04-16 12.06.25,,
84,N210-78-A - 2018-04-26 18.34.59,,
85,E984-06 - 2018-03-08 22.52.06,,
86,N527-92 - 2018-04-11 01.19.27,,
87,N527-92 - 2018-04-11 11.18.21,,
88,E1-2009 - 2018-03-09 00.25.12,,
89,N2204-14-1-A-9 - 2018-04-05 16.31.11,,
90,N2204-14-2-A-1 - 2018-03-28 14.27.25,,
91,N2204-14-2-C-1 - 2018-04-05 16.49.42,,
92,N2204-14-2-C-15 - 2018-04-05 16.42.02,,
93,E613-90 - 2018-04-10 19.45.54,,
94,E613-90 - 2018-04-10 19.58.20,,
95,N687-67 - 2018-04-26 11.37.57,,
96,E998-90 - 2018-04-11 10.35.48,,
97,N1199-91 - 2018-04-11 11.09.29,,
98,E255-84 - 2018-05-01 13.36.44,,
99,N171-76-B - 2018-04-26 14.49.54,,
100,N2015002181N1-A-14 - 2021-07-06 13.30.21,,
101,E493-88-A - 2018-05-02 09.57.30,,
102,E795-15-A - 2018-04-05 17.32.23,,
103,E795-15-B - 2018-04-05 17.23.42,,
104,E538-03,,
105,2021-07-06 13.44.14,,
106,N2428-17-1-A-21 - 2018-04-05 23.58.11,,
107,E1054-68 - 2018-04-26 12.02.39,,
108,E744-88 - 2018-05-02 10.27.58,,
109,E786-95 - 2018-04-16 11.58.00,,
110,E118-13A - 2018-03-27 14.01.22,,
111,E118-13B - 2018-03-27 14.06.12,,
112,E118-13D - 2018-03-27 14.16.39,,
113,E1254-13I-II - 2018-03-28 12.26.56,,
114,E621-14IA - 2018-03-28 12.51.43,,
115,E621-14IB - 2018-03-28 13.03.12,,
116,E621-14II - 2018-03-28 13.14.24,,
117,N511-76-WNT - 2018-04-26 17.42.49,,
118,647-88 - 2018-05-02 10.13.12,,
119,E392-08 - 2018-03-09 00.06.20,,
120,E599-88 - 2018-05-02 10.02.29,,
121,E863-87 - 2018-05-01 16.18.21,,
122,N166-79 - 2018-04-26 19.29.28,,
123,N2395-15-1-A-15 - 2018-04-05 18.02.47,,
124,509-99-I - 2018-04-18 11.14.08,,
125,2021-07-06 12.02.27,,
126,N1391-17-1-A-17 - 2018-04-05 23.32.38,,
127,N1391-17-1-B-2 - 2018-04-05 23.40.22,,
128,N1391-17-1-C-2 - 2018-04-05 23.49.29,,
129,N1391-17-2-A-1 - 2018-04-05 23.54.09,,
130,N569-11-4 - 2018-03-27 10.39.57,,
131,798-98 - 2018-04-18 10.29.38,,
132,N349-78 - 2018-04-26 19.14.55,,
133,E61-86 - 2018-05-01 14.55.03,,
134,2021-07-06 12.40.22,,
135,E622-10 - 2018-03-08 20.30.55,,
136,E429-15-A - 2018-04-05 17.03.54,,
137,E429-15-C - 2018-04-05 17.14.42,,
138,E854-14A - 2018-03-28 13.22.16,,
139,E854-14B - 2018-03-28 13.35.06,,
140,E854-14C - 2018-03-28 13.48.13,,
141,N1366-92 - 2018-04-11 11.28.21,,
142,E979-05 - 2018-03-08 21.57.58,,
143,E46-16-A - 2018-04-06 08.53.58,,
144,E46-16-B - 2018-04-05 18.17.29,,
145,E46-16-C - 2018-04-05 18.24.59,,
146,1025-98 - 2018-04-18 10.44.26,,
147,N266-73 - 2018-04-26 14.12.19,,
148,N278-76 - 2018-04-26 15.07.36,,
149,N761-68 - 2018-04-26 16.58.09,,
150,E1079-14 - 2018-03-28 17.45.25,,
151,E301-07 - 2018-03-08 23.10.37,,
152,E301-07 - 2018-03-08 23.25.15,,
153,E951-12 - 2018-03-27 13.38.29,,
154,1020-93 - 2018-04-12 20.11.04,,
155,E44-90-A - 2018-04-10 17.13.58,,
156,E44-90-B - 2018-04-10 17.49.10,,
157,549-00-II - 2018-04-18 12.13.56,,
158,E164-91 - 2018-04-10 22.24.54,,
159,E164-91 - 2018-04-11 09.55.11,,
160,E173-91 - 2018-04-11 10.07.24,,
161,N16-3919_b,,
162,N16-3919_c,,
163,N17-914_b,,
164,N17-1312,,
165,N18-4192,,
166,E851-90-A - 2018-04-10 21.04.22,,
167,E851-90-A - 2018-04-10 21.32.31,,
168,E851-90-B - 2018-04-10 21.19.46,,
169,E385-00 - 2018-04-18 12.01.56,,
170,E618-05 - 2018-03-08 21.24.02,,
171,N517-12D - 2018-03-27 12.41.53,,
172,N517-12E - 2018-03-27 12.55.23,,
173,E326-01-I-B - 2018-04-13 15.24.00,,
174,E326-01-II - 2018-04-13 14.21.52,,
175,E326-01-III - 2018-04-13 14.28.00,,
176,E408-92 - 2018-04-11 01.01.39,,
177,E231-12-B - 2018-03-27 11.57.44,,
178,E231-12-C - 2018-03-27 16.51.14,,
179,E231-12B - 2018-03-27 12.13.55,,
180,118-98-II - 2018-04-23 14.10.20,,
181,338-97-I - 2018-04-23 13.35.08,,
182,935-95 - 2018-04-16 12.28.05,,
183,E845-10 - 2018-03-08 20.49.33,,
184,N539-13 - 2018-03-28 10.01.02,,
185,E465-90-A - 2018-04-10 18.03.23,,
186,E465-90-B - 2018-04-10 18.18.59,,
187,N1580-14-1-A-15 - 2018-03-28 18.14.22,,
