,train,val,test
0,N2014000134N2-A-16 - 2021-07-06 12.54.44,N171-76-B - 2018-04-26 14.49.54,E168-70 - 2018-04-26 12.14.09
1,E636-13 - 2018-03-28 10.25.20,N2018-13-1A - 2018-03-28 12.36.36,E1079-14 - 2018-03-28 17.45.25
2,N47-80-B - 2018-04-26 20.12.50,549-00-II - 2018-04-18 12.13.56,E301-07 - 2018-03-08 23.10.37
3,946-90 - 2018-04-11 09.47.49,E713-01-B - 2018-04-13 14.51.28,E301-07 - 2018-03-08 23.25.15
4,857-95-I - 2018-04-16 12.10.27,E1012-11-1 - 2018-03-27 11.45.31,E951-12 - 2018-03-27 13.38.29
5,857-95-I - 2018-04-16 12.14.13,E1012-11-II - 2018-03-27 11.41.30,E46-16-A - 2018-04-06 08.53.58
6,E160-85 - 2018-05-01 13.48.07,E1012-11-III - 2018-03-27 11.36.41,E46-16-B - 2018-04-05 18.17.29
7,E451-13 - 2018-03-27 15.21.36,E795-15-A - 2018-04-05 17.32.23,E46-16-C - 2018-04-05 18.24.59
8,E451-13 - 2018-03-27 15.27.55,E795-15-B - 2018-04-05 17.23.42,N687-67 - 2018-04-26 11.37.57
9,E125-95 - 2018-04-16 13.35.36,118-98-II - 2018-04-23 14.10.20,E878-91 - 2018-04-11 00.15.19
10,N1662-15-1-A-13 - 2018-04-05 17.59.29,338-97-I - 2018-04-23 13.35.08,450-95-I - 2018-04-16 10.57.33
11,E314-09 - 2018-03-09 00.40.12,935-95 - 2018-04-16 12.28.05,450-95-I - 2018-04-16 11.08.51
12,E37-02-B - 2018-04-13 15.33.35,E465-90-A - 2018-04-10 18.03.23,450-95-I - 2018-04-16 11.18.54
13,N1074-17-1-A-14 - 2018-04-05 22.36.35,E465-90-B - 2018-04-10 18.18.59,N2-95 - 2018-04-16 13.21.32
14,N1074-17-1-B-3 - 2018-04-05 22.53.07,N499-91 - 2018-04-10 23.48.27,E578-90-A - 2018-04-10 19.12.37
15,N1074-17-1-C-3 - 2018-04-05 23.01.52,,E578-90-B - 2018-04-11 09.32.07
16,N1074-17-1-D-3 - 2018-04-05 23.10.59,,E522-94-B - 2018-04-12 21.47.13
17,307-91 - 2018-04-10 23.26.34,,
18,1037-98-I - 2018-04-18 10.51.35,,
19,124-00 - 2018-04-18 11.37.05,,
20,E341-03,,
21,354-95 - 2018-04-16 10.23.47,,
22,354-95 - 2018-04-16 10.37.23,,
23,E306-02 - 2018-04-13 15.05.47,,
24,723-86 - 2018-05-01 15.29.45,,
25,N508-76 - 2018-04-26 15.21.24,,
26,E308-87 - 2018-05-01 16.00.46,,
27,E484-93-1 - 2018-04-12 18.05.18,,
28,E484-93-1 - 2018-04-12 18.18.30,,
29,E524-95 - 2018-04-16 11.35.11,,
30,E524-95 - 2018-04-16 11.42.36,,
31,E665-07 - 2018-03-08 23.32.41,,
32,N235-91 - 2018-04-11 11.04.35,,
33,E205-06 - 2018-03-08 22.15.53,,
34,E179-89 - 2018-05-02 18.36.24,,
35,E187-89 - 2018-05-02 18.45.39,,
36,E909-87 - 2018-05-01 16.30.36,,
37,N483-79 - 2018-04-26 20.04.03,,
38,N141-78 - 2018-04-26 18.09.25,,
39,E1080-09 - 2018-03-09 01.09.54,,
40,E1080-09B - 2018-03-09 01.23.45,,
41,E936-91-A - 2018-04-11 00.43.04,,
42,E936-91-a - 2018-04-11 00.22.25,,
43,E936-91-b - 2018-04-11 00.31.13,,
44,N1145-91,,
45,306-98-I - 2018-04-18 09.33.51,,
46,306-98-I - 2018-04-23 14.23.51,,
47,E635-93 - 2018-04-12 18.30.38,,
48,E635-93 - 2018-04-12 18.39.38,,
49,E580-12 - 2018-03-27 13.07.08,,
50,E131-13A - 2018-03-27 14.30.15,,
51,E131-13B - 2018-03-27 14.47.06,,
52,E131-13C - 2018-03-27 15.04.13,,
53,E623-13B - 2018-03-28 10.19.55,,
54,N331-15-1-A-13 - 2018-04-05 16.59.16,,
55,N331-15-2-A-31 - 2018-04-06 08.32.52,,
56,E658-90-A - 2018-04-10 20.12.47,,
57,E658-90-B - 2018-04-10 20.30.45,,
58,E658-90-B - 2018-04-10 20.51.02,,
59,N14-81 - 2018-04-26 21.12.47,,
60,N2424-16-1-A-5 - 2018-04-05 18.30.46,,
61,N2424-16-1-B-5 - 2018-04-05 18.42.39,,
62,N2424-16-1-D-5 - 2018-04-05 18.59.59,,
63,N2424-16-1-E-29 - 2018-04-05 19.12.14,,
64,N2424-16-1-E-5 - 2018-04-06 08.59.38,,
65,E824-11C - 2018-03-27 11.18.15,,
66,E824-11D - 2018-03-27 10.59.48,,
67,E841-12 - 2018-03-27 13.23.49,,
68,E262-65 - 2018-04-26 16.26.34,,
69,E784-10 - 2018-03-08 20.38.37,,
70,N211-78 - 2018-04-26 18.46.22,,
71,N91-72 - 2018-04-26 13.31.58,,
72,E04-06 - 2018-03-08 22.01.33,,
73,E187-10 - 2018-03-08 20.06.33,,
74,E515-00 - 2018-04-18 12.06.34,,
75,E202-96 - 2018-04-23 13.18.01,,
76,E202-96 - 2018-04-23 14.04.02,,
77,E525-89 - 2018-05-02 19.20.41,,
78,E525-89 - 2018-05-02 19.38.55,,
79,E303-94-A - 2018-04-12 20.41.43,,
80,E435-86 - 2018-05-01 15.18.08,,
81,N16-77 - 2018-04-26 15.44.56,,
82,277-94 - 2018-04-12 20.21.54,,
83,N2910-17-1-A-1 - 2018-04-06 00.24.22,,
84,E821-09 - 2018-03-09 00.54.05,,
85,846-95-I - 2018-04-16 12.06.25,,
86,N210-78-A - 2018-04-26 18.34.59,,
87,E984-06 - 2018-03-08 22.52.06,,
88,N527-92 - 2018-04-11 01.19.27,,
89,N527-92 - 2018-04-11 11.18.21,,
90,25-95-I - 2018-04-16 10.19.32,,
91,E1-2009 - 2018-03-09 00.25.12,,
92,N2204-14-1-A-9 - 2018-04-05 16.31.11,,
93,N2204-14-2-A-1 - 2018-03-28 14.27.25,,
94,N2204-14-2-C-1 - 2018-04-05 16.49.42,,
95,N2204-14-2-C-15 - 2018-04-05 16.42.02,,
96,E613-90 - 2018-04-10 19.45.54,,
97,E613-90 - 2018-04-10 19.58.20,,
98,E998-90 - 2018-04-11 10.35.48,,
99,N1199-91 - 2018-04-11 11.09.29,,
100,E255-84 - 2018-05-01 13.36.44,,
101,N2015002181N1-A-14 - 2021-07-06 13.30.21,,
102,E493-88-A - 2018-05-02 09.57.30,,
103,E538-03,,
