,train,val,test
0,N2014000134N2-A-16 - 2021-07-06 12.54.44,N210-78-A - 2018-04-26 18.34.59,1020-93 - 2018-04-12 20.11.04
1,E636-13 - 2018-03-28 10.25.20,E262-65 - 2018-04-26 16.26.34,E635-93 - 2018-04-12 18.30.38
2,N2018-13-1A - 2018-03-28 12.36.36,E255-84 - 2018-05-01 13.36.44,E635-93 - 2018-04-12 18.39.38
3,N47-80-B - 2018-04-26 20.12.50,N687-67 - 2018-04-26 11.37.57,E998-90 - 2018-04-11 10.35.48
4,946-90 - 2018-04-11 09.47.49,E1012-11-1 - 2018-03-27 11.45.31,N2015002181N1-A-14 - 2021-07-06 13.30.21
5,857-95-I - 2018-04-16 12.10.27,E1012-11-II - 2018-03-27 11.41.30,2021-07-06 12.40.22
6,857-95-I - 2018-04-16 12.14.13,E1012-11-III - 2018-03-27 11.36.41,25-95-I - 2018-04-16 10.19.32
7,E160-85 - 2018-05-01 13.48.07,N569-11-4 - 2018-03-27 10.39.57,E173-10A - 2018-03-09 01.37.57
8,E451-13 - 2018-03-27 15.21.36,E622-67-II - 2018-04-26 16.39.02,E940-10 - 2018-03-08 21.04.26
9,E451-13 - 2018-03-27 15.27.55,E326-01-I-B - 2018-04-13 15.24.00,E1059-13A - 2018-03-28 10.37.11
10,E125-95 - 2018-04-16 13.35.36,E326-01-II - 2018-04-13 14.21.52,E1059-13B - 2018-03-28 10.52.13
11,E713-01-B - 2018-04-13 14.51.28,E326-01-III - 2018-04-13 14.28.00,478-96-7-I-C - 2018-04-23 13.57.36
12,N1662-15-1-A-13 - 2018-04-05 17.59.29,N2652-1-I-6 - 2018-04-05 21.10.30,478-97-I-B - 2018-04-23 13.49.05
13,E314-09 - 2018-03-09 00.40.12,N2652-1-L-5 - 2018-04-05 22.18.30,
14,E37-02-B - 2018-04-13 15.33.35,N2652-16-1-A-1 - 2018-04-05 22.03.27,
15,N1074-17-1-A-14 - 2018-04-05 22.36.35,N2652-16-1-B-5 - 2018-04-06 09.10.22,
16,N1074-17-1-B-3 - 2018-04-05 22.53.07,N2652-16-1-C-5 - 2018-04-05 19.22.12,
17,N1074-17-1-C-3 - 2018-04-05 23.01.52,N2652-16-1-D-5 - 2018-04-05 19.41.12,
18,N1074-17-1-D-3 - 2018-04-05 23.10.59,N2652-16-1-E-5 - 2018-04-05 19.59.38,
19,307-91 - 2018-04-10 23.26.34,N2652-16-1-F-5 - 2018-04-05 20.18.04,
20,1037-98-I - 2018-04-18 10.51.35,N2652-16-1-G-5 - 2018-04-05 20.35.35,
21,124-00 - 2018-04-18 11.37.05,N2652-16-1-H-5 - 2018-04-05 20.53.46,
22,E341-03,N2652-16-1-J-5 - 2018-04-05 21.28.37,
23,354-95 - 2018-04-16 10.23.47,N2652-16-1-K-5 - 2018-04-05 21.47.12,
24,354-95 - 2018-04-16 10.37.23,N2652-16-1-M-5 - 2018-04-06 01.52.52,
25,E306-02 - 2018-04-13 15.05.47,,
26,723-86 - 2018-05-01 15.29.45,,
27,N508-76 - 2018-04-26 15.21.24,,
28,E308-87 - 2018-05-01 16.00.46,,
29,E484-93-1 - 2018-04-12 18.05.18,,
30,E484-93-1 - 2018-04-12 18.18.30,,
31,E524-95 - 2018-04-16 11.35.11,,
32,E524-95 - 2018-04-16 11.42.36,,
33,E665-07 - 2018-03-08 23.32.41,,
34,N235-91 - 2018-04-11 11.04.35,,
35,E205-06 - 2018-03-08 22.15.53,,
36,E179-89 - 2018-05-02 18.36.24,,
37,E187-89 - 2018-05-02 18.45.39,,
38,E878-91 - 2018-04-11 00.15.19,,
39,E909-87 - 2018-05-01 16.30.36,,
40,N483-79 - 2018-04-26 20.04.03,,
41,N141-78 - 2018-04-26 18.09.25,,
42,E1080-09 - 2018-03-09 01.09.54,,
43,E1080-09B - 2018-03-09 01.23.45,,
44,E936-91-A - 2018-04-11 00.43.04,,
45,E936-91-a - 2018-04-11 00.22.25,,
46,E936-91-b - 2018-04-11 00.31.13,,
47,N1145-91,,
48,306-98-I - 2018-04-18 09.33.51,,
49,306-98-I - 2018-04-23 14.23.51,,
50,E580-12 - 2018-03-27 13.07.08,,
51,E131-13A - 2018-03-27 14.30.15,,
52,E131-13B - 2018-03-27 14.47.06,,
53,E131-13C - 2018-03-27 15.04.13,,
54,E623-13B - 2018-03-28 10.19.55,,
55,N331-15-1-A-13 - 2018-04-05 16.59.16,,
56,N331-15-2-A-31 - 2018-04-06 08.32.52,,
57,E658-90-A - 2018-04-10 20.12.47,,
58,E658-90-B - 2018-04-10 20.30.45,,
59,E658-90-B - 2018-04-10 20.51.02,,
60,N14-81 - 2018-04-26 21.12.47,,
61,450-95-I - 2018-04-16 10.57.33,,
62,450-95-I - 2018-04-16 11.08.51,,
63,450-95-I - 2018-04-16 11.18.54,,
64,N2424-16-1-A-5 - 2018-04-05 18.30.46,,
65,N2424-16-1-B-5 - 2018-04-05 18.42.39,,
66,N2424-16-1-D-5 - 2018-04-05 18.59.59,,
67,N2424-16-1-E-29 - 2018-04-05 19.12.14,,
68,N2424-16-1-E-5 - 2018-04-06 08.59.38,,
69,E824-11C - 2018-03-27 11.18.15,,
70,E824-11D - 2018-03-27 10.59.48,,
71,E841-12 - 2018-03-27 13.23.49,,
72,E784-10 - 2018-03-08 20.38.37,,
73,N211-78 - 2018-04-26 18.46.22,,
74,N91-72 - 2018-04-26 13.31.58,,
75,E04-06 - 2018-03-08 22.01.33,,
76,E187-10 - 2018-03-08 20.06.33,,
77,E515-00 - 2018-04-18 12.06.34,,
78,E202-96 - 2018-04-23 13.18.01,,
79,E202-96 - 2018-04-23 14.04.02,,
80,E525-89 - 2018-05-02 19.20.41,,
81,E525-89 - 2018-05-02 19.38.55,,
82,E303-94-A - 2018-04-12 20.41.43,,
83,E435-86 - 2018-05-01 15.18.08,,
84,N16-77 - 2018-04-26 15.44.56,,
85,277-94 - 2018-04-12 20.21.54,,
86,N2910-17-1-A-1 - 2018-04-06 00.24.22,,
87,E821-09 - 2018-03-09 00.54.05,,
88,846-95-I - 2018-04-16 12.06.25,,
89,E984-06 - 2018-03-08 22.52.06,,
90,N527-92 - 2018-04-11 01.19.27,,
91,N527-92 - 2018-04-11 11.18.21,,
92,E1-2009 - 2018-03-09 00.25.12,,
93,N2204-14-1-A-9 - 2018-04-05 16.31.11,,
94,N2204-14-2-A-1 - 2018-03-28 14.27.25,,
95,N2204-14-2-C-1 - 2018-04-05 16.49.42,,
96,N2204-14-2-C-15 - 2018-04-05 16.42.02,,
97,E613-90 - 2018-04-10 19.45.54,,
98,E613-90 - 2018-04-10 19.58.20,,
99,N1199-91 - 2018-04-11 11.09.29,,
100,N171-76-B - 2018-04-26 14.49.54,,
101,E493-88-A - 2018-05-02 09.57.30,,
102,E795-15-A - 2018-04-05 17.32.23,,
103,E795-15-B - 2018-04-05 17.23.42,,
104,E538-03,,
105,E168-70 - 2018-04-26 12.14.09,,
106,2021-07-06 13.44.14,,
107,N2428-17-1-A-21 - 2018-04-05 23.58.11,,
108,384-81 - 2018-04-26 21.53.39,,
109,E1054-68 - 2018-04-26 12.02.39,,
110,E744-88 - 2018-05-02 10.27.58,,
111,E786-95 - 2018-04-16 11.58.00,,
112,E118-13A - 2018-03-27 14.01.22,,
113,E118-13B - 2018-03-27 14.06.12,,
114,E118-13D - 2018-03-27 14.16.39,,
115,E1254-13I-II - 2018-03-28 12.26.56,,
116,E621-14IA - 2018-03-28 12.51.43,,
117,E621-14IB - 2018-03-28 13.03.12,,
118,E621-14II - 2018-03-28 13.14.24,,
119,N511-76-WNT - 2018-04-26 17.42.49,,
120,647-88 - 2018-05-02 10.13.12,,
121,E392-08 - 2018-03-09 00.06.20,,
122,E599-88 - 2018-05-02 10.02.29,,
123,E863-87 - 2018-05-01 16.18.21,,
124,N166-79 - 2018-04-26 19.29.28,,
125,N2395-15-1-A-15 - 2018-04-05 18.02.47,,
126,509-99-I - 2018-04-18 11.14.08,,
127,2021-07-06 12.02.27,,
128,N1391-17-1-A-17 - 2018-04-05 23.32.38,,
129,N1391-17-1-B-2 - 2018-04-05 23.40.22,,
130,N1391-17-1-C-2 - 2018-04-05 23.49.29,,
131,N1391-17-2-A-1 - 2018-04-05 23.54.09,,
132,798-98 - 2018-04-18 10.29.38,,
133,N349-78 - 2018-04-26 19.14.55,,
134,E61-86 - 2018-05-01 14.55.03,,
135,E622-10 - 2018-03-08 20.30.55,,
136,E429-15-A - 2018-04-05 17.03.54,,
137,E429-15-C - 2018-04-05 17.14.42,,
138,E854-14A - 2018-03-28 13.22.16,,
139,E854-14B - 2018-03-28 13.35.06,,
140,E854-14C - 2018-03-28 13.48.13,,
141,N1366-92 - 2018-04-11 11.28.21,,
142,E979-05 - 2018-03-08 21.57.58,,
143,E46-16-A - 2018-04-06 08.53.58,,
