,train,val,test
0,N2014000134N2-A-16 - 2021-07-06 12.54.44,N483-79 - 2018-04-26 20.04.03,E341-03
1,2021-07-06 17.54.48,E1071-88-A - 2018-05-02 17.36.08,E385-00 - 2018-04-18 12.01.56
2,E515-00 - 2018-04-18 12.06.34,371-02 - 2018-04-13 15.50.14,E1177-13 - 2018-03-28 11.04.50
3,N2910-17-1-A-1 - 2018-04-06 00.24.22,E909-87 - 2018-05-01 16.30.36,N404-76 - 2018-04-26 17.22.38
4,E821-09 - 2018-03-09 00.54.05,E314-09 - 2018-03-09 00.40.12,E1080-09 - 2018-03-09 01.09.54
5,N210-78-A - 2018-04-26 18.34.59,E37-02-B - 2018-04-13 15.33.35,E1080-09B - 2018-03-09 01.23.45
6,N2015002181N1-A-14 - 2021-07-06 13.30.21,E435-86 - 2018-05-01 15.18.08,E179-89 - 2018-05-02 18.36.24
7,E538-03,E636-13 - 2018-03-28 10.25.20,E187-89 - 2018-05-02 18.45.39
8,2021-07-06 13.44.14,,N171-76-B - 2018-04-26 14.49.54
9,N2428-17-1-A-21 - 2018-04-05 23.58.11,,
10,N511-76-WNT - 2018-04-26 17.42.49,,
11,2021-07-06 12.02.27,,
12,2021-07-06 12.40.22,,
13,1025-98 - 2018-04-18 10.44.26,,
14,E156-98-A - 2018-04-23 14.16.27,,
15,N16-1903_a,,
16,N16-1903_b,,
17,N16-1903_c,,
18,N16-3919_b,,
19,N16-3919_c,,
20,N17-914_b,,
21,N17-1312,,
22,N18-4192,,
23,N47-80-B - 2018-04-26 20.12.50,,
24,E618-05 - 2018-03-08 21.24.02,,
25,E125-95 - 2018-04-16 13.35.36,,
26,N517-12D - 2018-03-27 12.41.53,,
27,N517-12E - 2018-03-27 12.55.23,,
28,E326-01-I-B - 2018-04-13 15.24.00,,
29,E326-01-II - 2018-04-13 14.21.52,,
30,E326-01-III - 2018-04-13 14.28.00,,
31,E231-12-B - 2018-03-27 11.57.44,,
32,E231-12-C - 2018-03-27 16.51.14,,
33,E231-12B - 2018-03-27 12.13.55,,
34,E1012-11-1 - 2018-03-27 11.45.31,,
35,E1012-11-II - 2018-03-27 11.41.30,,
36,E1012-11-III - 2018-03-27 11.36.41,,
37,E434-02-I - 2018-04-13 16.08.34,,
38,E434-02-II - 2018-04-13 16.23.44,,
39,E465-02 - 2018-04-16 09.55.18,,
40,E465-02-A - 2018-04-16 09.43.13,,
41,E253-89 - 2018-05-02 18.57.52,,
42,E586-85 - 2018-05-01 14.31.34,,
43,E586-85 - 2018-05-01 14.40.47,,
44,E524-95 - 2018-04-16 11.35.11,,
45,E524-95 - 2018-04-16 11.42.36,,
46,118-98-II - 2018-04-23 14.10.20,,
47,338-97-I - 2018-04-23 13.35.08,,
48,935-95 - 2018-04-16 12.28.05,,
49,E845-10 - 2018-03-08 20.49.33,,
50,N539-13 - 2018-03-28 10.01.02,,
51,E465-90-A - 2018-04-10 18.03.23,,
52,E465-90-B - 2018-04-10 18.18.59,,
53,N331-15-1-A-13 - 2018-04-05 16.59.16,,
54,N331-15-2-A-31 - 2018-04-06 08.32.52,,
55,N1580-14-1-A-15 - 2018-03-28 18.14.22,,
56,N1580-14-1-B-6 - 2018-03-28 18.27.05,,
57,N1580-14-1-C-5 - 2018-03-28 14.04.34,,
58,N1580-14-1-D-5 - 2018-03-28 17.58.49,,
59,E1179-13II - 2018-03-28 11.33.27,,
60,E1179-13III - 2018-03-28 11.49.02,,
61,E620-06 - 2018-03-08 22.29.32,,
62,E694-07 - 2018-03-08 23.39.02,,
63,EK270-09 - 2018-03-09 00.37.05,,
64,775-92,,
65,93-95 - 2018-04-16 13.25.31,,
66,737-98-I - 2018-04-18 09.52.29,,
67,E871-05-1a - 2018-03-08 21.38.08,,
68,E369-89 - 2018-05-02 19.05.56,,
69,N358-18-1-A-21 - 2018-04-06 02.05.52,,
