,train,val,test
0,N2014000134N2-A-16 - 2021-07-06 12.54.44,E538-03,N17-914_b
1,2021-07-06 17.54.48,E326-01-I-B - 2018-04-13 15.24.00,N358-18-1-A-21 - 2018-04-06 02.05.52
2,E341-03,E326-01-II - 2018-04-13 14.21.52,N358-18-1-B-2 - 2018-04-06 09.39.26
3,N483-79 - 2018-04-26 20.04.03,E326-01-III - 2018-04-13 14.28.00,E253-89 - 2018-05-02 18.57.52
4,E515-00 - 2018-04-18 12.06.34,N517-12D - 2018-03-27 12.41.53,E586-85 - 2018-05-01 14.31.34
5,N2910-17-1-A-1 - 2018-04-06 00.24.22,N517-12E - 2018-03-27 12.55.23,E586-85 - 2018-05-01 14.40.47
6,E821-09 - 2018-03-09 00.54.05,E04-06 - 2018-03-08 22.01.33,N980-93 - 2018-04-12 19.25.47
7,N210-78-A - 2018-04-26 18.34.59,E187-10 - 2018-03-08 20.06.33,E636-13 - 2018-03-28 10.25.20
8,N2015002181N1-A-14 - 2021-07-06 13.30.21,E484-93-1 - 2018-04-12 18.05.18,E984-06 - 2018-03-08 22.52.06
9,2021-07-06 13.44.14,E484-93-1 - 2018-04-12 18.18.30,E599-88 - 2018-05-02 10.02.29
10,N2428-17-1-A-21 - 2018-04-05 23.58.11,1037-98-I - 2018-04-18 10.51.35,
11,N511-76-WNT - 2018-04-26 17.42.49,N2395-15-1-A-15 - 2018-04-05 18.02.47,
12,2021-07-06 12.02.27,,
13,2021-07-06 12.40.22,,
14,1025-98 - 2018-04-18 10.44.26,,
15,E156-98-A - 2018-04-23 14.16.27,,
16,N16-1903_a,,
17,N16-1903_b,,
18,N16-1903_c,,
19,N16-3919_b,,
20,N16-3919_c,,
21,N17-1312,,
22,N18-4192,,
23,E385-00 - 2018-04-18 12.01.56,,
24,N47-80-B - 2018-04-26 20.12.50,,
25,E618-05 - 2018-03-08 21.24.02,,
26,E125-95 - 2018-04-16 13.35.36,,
27,E231-12-B - 2018-03-27 11.57.44,,
28,E231-12-C - 2018-03-27 16.51.14,,
29,E231-12B - 2018-03-27 12.13.55,,
30,E1012-11-1 - 2018-03-27 11.45.31,,
31,E1012-11-II - 2018-03-27 11.41.30,,
32,E1012-11-III - 2018-03-27 11.36.41,,
33,E434-02-I - 2018-04-13 16.08.34,,
34,E434-02-II - 2018-04-13 16.23.44,,
35,E465-02 - 2018-04-16 09.55.18,,
36,E465-02-A - 2018-04-16 09.43.13,,
37,E524-95 - 2018-04-16 11.35.11,,
38,E524-95 - 2018-04-16 11.42.36,,
39,118-98-II - 2018-04-23 14.10.20,,
40,338-97-I - 2018-04-23 13.35.08,,
41,935-95 - 2018-04-16 12.28.05,,
42,E845-10 - 2018-03-08 20.49.33,,
43,N539-13 - 2018-03-28 10.01.02,,
44,E465-90-A - 2018-04-10 18.03.23,,
45,E465-90-B - 2018-04-10 18.18.59,,
46,N331-15-1-A-13 - 2018-04-05 16.59.16,,
47,N331-15-2-A-31 - 2018-04-06 08.32.52,,
48,N1580-14-1-A-15 - 2018-03-28 18.14.22,,
49,N1580-14-1-B-6 - 2018-03-28 18.27.05,,
50,N1580-14-1-C-5 - 2018-03-28 14.04.34,,
51,N1580-14-1-D-5 - 2018-03-28 17.58.49,,
52,E1179-13II - 2018-03-28 11.33.27,,
53,E1179-13III - 2018-03-28 11.49.02,,
54,E1177-13 - 2018-03-28 11.04.50,,
55,E620-06 - 2018-03-08 22.29.32,,
56,E694-07 - 2018-03-08 23.39.02,,
57,EK270-09 - 2018-03-09 00.37.05,,
58,775-92,,
59,93-95 - 2018-04-16 13.25.31,,
60,737-98-I - 2018-04-18 09.52.29,,
61,E871-05-1a - 2018-03-08 21.38.08,,
62,E369-89 - 2018-05-02 19.05.56,,
63,E411-10A - 2018-03-08 20.23.01,,
64,478-96-7-I-C - 2018-04-23 13.57.36,,
65,478-97-I-B - 2018-04-23 13.49.05,,
66,E1036-88 - 2018-05-02 17.27.58,,
67,E1071-88-A - 2018-05-02 17.36.08,,
68,Ek1253-13A - 2018-03-28 12.00.38,,
69,Ek1253-13B - 2018-03-28 12.14.06,,
70,E760-07 - 2018-03-08 23.55.26,,
71,E173-10A - 2018-03-09 01.37.57,,
72,E940-10 - 2018-03-08 21.04.26,,
73,E578-90-A - 2018-04-10 19.12.37,,
74,E578-90-B - 2018-04-11 09.32.07,,
75,N515-75 - 2018-04-26 14.42.34,,
76,607-98 - 2018-04-18 09.37.44,,
77,N83-73 - 2018-04-26 17.19.42,,
78,N 266-93-II - 2018-04-12 19.42.58,,
79,E955-88-B - 2018-05-02 17.13.54,,
80,N461-75 - 2018-04-26 14.33.35,,
81,E367-94-A - 2018-04-12 20.59.30,,
82,N1948-14-2-B-5 - 2018-03-28 14.15.16,,
83,235-88-I - 2018-05-01 16.54.37,,
84,N2872-17-1-B-2 - 2018-04-06 00.29.15,,
85,N2872-17-1-C-10 - 2018-04-06 01.17.50,,
86,N2872-17-1-D-2 - 2018-04-06 00.44.54,,
87,N2872-17-1-E-2 - 2018-04-06 01.02.09,,
88,659-95-I - 2018-04-16 13.43.09,,
89,371-02 - 2018-04-13 15.50.14,,
90,N2652-1-I-6 - 2018-04-05 21.10.30,,
91,N2652-1-L-5 - 2018-04-05 22.18.30,,
92,N2652-16-1-A-1 - 2018-04-05 22.03.27,,
93,N2652-16-1-B-5 - 2018-04-06 09.10.22,,
94,N2652-16-1-C-5 - 2018-04-05 19.22.12,,
95,N2652-16-1-D-5 - 2018-04-05 19.41.12,,
96,N2652-16-1-E-5 - 2018-04-05 19.59.38,,
97,N2652-16-1-F-5 - 2018-04-05 20.18.04,,
98,N2652-16-1-G-5 - 2018-04-05 20.35.35,,
99,N2652-16-1-H-5 - 2018-04-05 20.53.46,,
100,N2652-16-1-J-5 - 2018-04-05 21.28.37,,
101,N2652-16-1-K-5 - 2018-04-05 21.47.12,,
102,N2652-16-1-M-5 - 2018-04-06 01.52.52,,
103,E851-90-A - 2018-04-10 21.04.22,,
104,E851-90-A - 2018-04-10 21.32.31,,
105,E851-90-B - 2018-04-10 21.19.46,,
106,N2018-13-1A - 2018-03-28 12.36.36,,
107,857-95-I - 2018-04-16 12.10.27,,
108,857-95-I - 2018-04-16 12.14.13,,
109,E160-85 - 2018-05-01 13.48.07,,
110,E451-13 - 2018-03-27 15.21.36,,
111,E451-13 - 2018-03-27 15.27.55,,
112,E713-01-B - 2018-04-13 14.51.28,,
113,N1662-15-1-A-13 - 2018-04-05 17.59.29,,
114,E314-09 - 2018-03-09 00.40.12,,
115,E37-02-B - 2018-04-13 15.33.35,,
116,N1074-17-1-A-14 - 2018-04-05 22.36.35,,
117,N1074-17-1-B-3 - 2018-04-05 22.53.07,,
118,N1074-17-1-C-3 - 2018-04-05 23.01.52,,
119,N1074-17-1-D-3 - 2018-04-05 23.10.59,,
120,N404-76 - 2018-04-26 17.22.38,,
121,124-00 - 2018-04-18 11.37.05,,
122,E306-02 - 2018-04-13 15.05.47,,
